timestamp,elapsed_min,cpu_perc,mem_usage_mb,mem_limit_mb,mem_perc,net_io,block_io
2026-04-01 11:41:51,0,28.94,124.3MB,34068.5,0.37,8.548MB / 337.8kB,0B / 0B
2026-04-01 11:42:03,0,42.45,126.1MB,34068.5,0.38,18.97MB / 736.2kB,0B / 0B
2026-04-01 11:42:15,0,49.62,128MB,34068.5,0.38,29.5MB / 1.14MB,0B / 0B
2026-04-01 11:42:27,0,53.31,127.7MB,34068.5,0.38,39.93MB / 1.541MB,0B / 0B
2026-04-01 11:42:39,0,55.06,127.7MB,34068.5,0.38,50.35MB / 1.938MB,0B / 0B
2026-04-01 11:42:51,1,56.40,127.7MB,34068.5,0.38,60.77MB / 2.34MB,0B / 0B
2026-04-01 11:43:03,1,57.41,128.2MB,34068.5,0.39,71.09MB / 2.732MB,0B / 0B
2026-04-01 11:43:15,1,58.38,127.8MB,34068.5,0.38,81.41MB / 3.127MB,0B / 0B
2026-04-01 11:43:27,1,58.91,128.5MB,34068.5,0.39,91.73MB / 3.523MB,0B / 0B
2026-04-01 11:43:39,1,59.79,128.3MB,34068.5,0.39,102.2MB / 3.921MB,0B / 0B
2026-04-01 11:43:51,2,60.44,127.6MB,34068.5,0.38,112.6MB / 4.321MB,0B / 0B
2026-04-01 11:44:02,2,61.07,128MB,34068.5,0.38,123MB / 4.72MB,0B / 0B
2026-04-01 11:44:14,2,61.26,127.4MB,34068.5,0.38,133.3MB / 5.118MB,0B / 0B
2026-04-01 11:44:26,2,61.61,128.8MB,34068.5,0.39,143.9MB / 5.519MB,0B / 0B
2026-04-01 11:44:38,2,61.95,127.9MB,34068.5,0.38,154.4MB / 5.922MB,0B / 0B
2026-04-01 11:44:51,3,62.31,128MB,34068.5,0.38,164.7MB / 6.318MB,0B / 0B
2026-04-01 11:45:02,3,62.43,128.4MB,34068.5,0.39,175MB / 6.715MB,0B / 0B
2026-04-01 11:45:14,3,62.23,128.8MB,34068.5,0.39,185.4MB / 7.113MB,0B / 0B
2026-04-01 11:45:26,3,62.49,127.7MB,34068.5,0.38,195.8MB / 7.508MB,0B / 0B
2026-04-01 11:45:38,3,62.68,128MB,34068.5,0.38,206MB / 7.9MB,0B / 0B
2026-04-01 11:45:50,3,62.80,128MB,34068.5,0.38,216.4MB / 8.298MB,0B / 0B
2026-04-01 11:46:02,4,63.05,128.2MB,34068.5,0.39,226.8MB / 8.698MB,0B / 0B
2026-04-01 11:46:14,4,63.47,129.3MB,34068.5,0.39,237.4MB / 9.101MB,0B / 0B
2026-04-01 11:46:26,4,63.55,128.1MB,34068.5,0.39,247.7MB / 9.498MB,0B / 0B
2026-04-01 11:46:38,4,63.65,128.4MB,34068.5,0.39,258.1MB / 9.897MB,0B / 0B
2026-04-01 11:46:50,4,63.77,129.1MB,34068.5,0.39,268.6MB / 10.3MB,0B / 0B
2026-04-01 11:47:02,5,63.87,128MB,34068.5,0.38,278.9MB / 10.69MB,0B / 0B
2026-04-01 11:47:14,5,64.01,128.6MB,34068.5,0.39,289.5MB / 11.09MB,0B / 0B
2026-04-01 11:47:26,5,64.11,129.3MB,34068.5,0.39,299.9MB / 11.49MB,0B / 0B
2026-04-01 11:47:38,5,64.21,128.7MB,34068.5,0.39,310.3MB / 11.89MB,0B / 0B
2026-04-01 11:47:50,5,64.17,129.2MB,34068.5,0.39,320.7MB / 12.29MB,0B / 0B
2026-04-01 11:48:02,6,64.27,128.8MB,34068.5,0.39,331.1MB / 12.69MB,0B / 0B
2026-04-01 11:48:14,6,64.30,129.5MB,34068.5,0.39,341.5MB / 13.08MB,0B / 0B
2026-04-01 11:48:26,6,64.38,129.2MB,34068.5,0.39,351.8MB / 13.48MB,0B / 0B
2026-04-01 11:48:37,6,64.38,129.7MB,34068.5,0.39,362.2MB / 13.88MB,0B / 0B
2026-04-01 11:48:49,6,64.45,128.6MB,34068.5,0.39,372.5MB / 14.27MB,0B / 0B
2026-04-01 11:49:01,7,64.42,129.3MB,34068.5,0.39,382.9MB / 14.67MB,0B / 0B
2026-04-01 11:49:13,7,64.43,129.6MB,34068.5,0.39,393.3MB / 15.07MB,0B / 0B
2026-04-01 11:49:25,7,64.49,129.1MB,34068.5,0.39,403.7MB / 15.46MB,0B / 0B
