timestamp,elapsed_min,cpu_perc,mem_usage_mb,mem_limit_mb,mem_perc,net_io,block_io
2026-04-01 14:52:32,0,0.31,108.1MB,34068.5,0.32,179.2kB / 143.9kB,0B / 0B
2026-04-01 14:52:44,0,0.32,111.3MB,34068.5,0.33,184.4kB / 148.3kB,0B / 0B
2026-04-01 14:52:55,0,0.33,111.3MB,34068.5,0.33,189.6kB / 152.4kB,0B / 0B
2026-04-01 14:53:07,0,0.34,111.3MB,34068.5,0.33,194.5kB / 156.4kB,0B / 0B
2026-04-01 14:53:19,0,0.35,111.4MB,34068.5,0.33,199.5kB / 160.6kB,0B / 0B
2026-04-01 14:53:31,0,0.72,112.2MB,34068.5,0.34,9.022MB / 9.023MB,0B / 0B
2026-04-01 14:53:44,1,2.27,113MB,34068.5,0.34,49.26MB / 49.37MB,0B / 0B
2026-04-01 14:53:56,1,3.76,113.7MB,34068.5,0.34,87.52MB / 87.9MB,0B / 0B
2026-04-01 14:54:08,1,5.34,113.9MB,34068.5,0.34,122.6MB / 123MB,0B / 0B
2026-04-01 14:54:21,1,6.75,114.4MB,34068.5,0.34,158.5MB / 159.1MB,0B / 0B
2026-04-01 14:54:33,2,8.14,114MB,34068.5,0.34,194MB / 194.8MB,0B / 0B
2026-04-01 14:54:46,2,9.43,114.6MB,34068.5,0.34,229.3MB / 230.3MB,0B / 0B
2026-04-01 14:54:58,2,10.67,115.4MB,34068.5,0.35,263.9MB / 265MB,0B / 0B
2026-04-01 14:55:11,2,11.88,115.3MB,34068.5,0.35,299.1MB / 300.2MB,0B / 0B
2026-04-01 14:55:23,2,13.01,116.2MB,34068.5,0.35,333.5MB / 334.8MB,0B / 0B
2026-04-01 14:55:36,3,14.10,116.4MB,34068.5,0.35,368.1MB / 369.6MB,0B / 0B
2026-04-01 14:55:49,3,15.11,116.2MB,34068.5,0.35,403.4MB / 404.9MB,0B / 0B
2026-04-01 14:56:01,3,16.05,115.8MB,34068.5,0.35,438.5MB / 440.2MB,0B / 0B
2026-04-01 14:56:13,3,16.98,116.3MB,34068.5,0.35,473.8MB / 475.6MB,0B / 0B
2026-04-01 14:56:26,3,17.86,117MB,34068.5,0.35,510.5MB / 512.5MB,0B / 0B
2026-04-01 14:56:38,4,18.70,116.9MB,34068.5,0.35,546.6MB / 548.8MB,0B / 0B
2026-04-01 14:56:51,4,19.52,117.3MB,34068.5,0.35,582.5MB / 584.8MB,0B / 0B
2026-04-01 14:57:03,4,20.27,118MB,34068.5,0.35,618.9MB / 621.4MB,0B / 0B
2026-04-01 14:57:16,4,21.01,118MB,34068.5,0.35,656.2MB / 658.6MB,0B / 0B
2026-04-01 14:57:28,4,21.74,118.6MB,34068.5,0.36,692.4MB / 695.1MB,0B / 0B
2026-04-01 14:57:41,5,22.45,95.11MB,34068.5,0.29,728.4MB / 731.3MB,0B / 0B
2026-04-01 14:57:53,5,23.11,95.54MB,34068.5,0.29,765.7MB / 768.6MB,0B / 0B
2026-04-01 14:58:05,5,23.76,94.88MB,34068.5,0.29,802.7MB / 805.9MB,0B / 0B
2026-04-01 14:58:18,5,24.37,96.37MB,34068.5,0.29,839MB / 842.3MB,0B / 0B
2026-04-01 14:58:30,5,24.98,96.2MB,34068.5,0.29,875.2MB / 878.7MB,0B / 0B
2026-04-01 14:58:43,6,25.56,95.94MB,34068.5,0.29,911.6MB / 915.2MB,0B / 0B
2026-04-01 14:58:55,6,26.12,96.75MB,34068.5,0.29,948.1MB / 951.9MB,0B / 0B
2026-04-01 14:59:07,6,26.66,96.31MB,34068.5,0.29,984.4MB / 988.4MB,0B / 0B
2026-04-01 14:59:20,6,27.20,96.76MB,34068.5,0.29,1.021GB / 1.025GB,0B / 0B
2026-04-01 14:59:32,7,27.69,97.13MB,34068.5,0.29,1.058GB / 1.062GB,0B / 0B
2026-04-01 14:59:44,7,28.19,96.82MB,34068.5,0.29,1.094GB / 1.098GB,0B / 0B
2026-04-01 14:59:57,7,28.66,98.41MB,34068.5,0.30,1.13GB / 1.135GB,0B / 0B
2026-04-01 15:00:09,7,29.14,97.69MB,34068.5,0.29,1.167GB / 1.172GB,0B / 0B
2026-04-01 15:00:21,7,29.58,97.41MB,34068.5,0.29,1.204GB / 1.209GB,0B / 0B
2026-04-01 15:00:34,8,30.03,98.02MB,34068.5,0.29,1.241GB / 1.246GB,0B / 0B
2026-04-01 15:00:46,8,30.46,98.02MB,34068.5,0.29,1.278GB / 1.283GB,0B / 0B
2026-04-01 15:00:58,8,30.87,98.5MB,34068.5,0.30,1.314GB / 1.32GB,0B / 0B
2026-04-01 15:01:11,8,31.28,98.71MB,34068.5,0.30,1.351GB / 1.356GB,0B / 0B
2026-04-01 15:01:23,8,31.68,98.31MB,34068.5,0.30,1.388GB / 1.394GB,0B / 0B
2026-04-01 15:01:35,9,32.05,98.96MB,34068.5,0.30,1.425GB / 1.431GB,0B / 0B
2026-04-01 15:01:48,9,32.43,98.83MB,34068.5,0.30,1.462GB / 1.468GB,0B / 0B
2026-04-01 15:02:00,9,32.77,99.13MB,34068.5,0.30,1.5GB / 1.506GB,0B / 0B
2026-04-01 15:02:12,9,33.14,99.78MB,34068.5,0.30,1.536GB / 1.542GB,0B / 0B
2026-04-01 15:02:25,9,33.49,99.64MB,34068.5,0.30,1.572GB / 1.578GB,0B / 0B
2026-04-01 15:02:37,10,33.82,99.41MB,34068.5,0.30,1.609GB / 1.615GB,0B / 0B
2026-04-01 15:02:50,10,34.15,99.27MB,34068.5,0.30,1.646GB / 1.653GB,0B / 0B
2026-04-01 15:03:02,10,34.47,100.5MB,34068.5,0.30,1.682GB / 1.689GB,0B / 0B
2026-04-01 15:03:14,10,34.78,99.88MB,34068.5,0.30,1.719GB / 1.726GB,0B / 0B
2026-04-01 15:03:27,10,35.09,100.8MB,34068.5,0.30,1.756GB / 1.763GB,0B / 0B
2026-04-01 15:03:39,11,35.39,100.7MB,34068.5,0.30,1.792GB / 1.799GB,0B / 0B
2026-04-01 15:03:51,11,35.70,101.7MB,34068.5,0.31,1.829GB / 1.836GB,0B / 0B
2026-04-01 15:04:04,11,35.99,100.6MB,34068.5,0.30,1.864GB / 1.872GB,0B / 0B
2026-04-01 15:04:16,11,36.28,101.1MB,34068.5,0.30,1.901GB / 1.909GB,0B / 0B
2026-04-01 15:04:29,11,36.57,101.1MB,34068.5,0.30,1.937GB / 1.945GB,0B / 0B
2026-04-01 15:04:41,12,36.85,101.7MB,34068.5,0.31,1.974GB / 1.982GB,0B / 0B
2026-04-01 15:04:54,12,37.11,101.8MB,34068.5,0.31,2.011GB / 2.019GB,0B / 0B
2026-04-01 15:05:06,12,37.36,101.8MB,34068.5,0.31,2.048GB / 2.056GB,0B / 0B
2026-04-01 15:05:18,12,37.61,102.4MB,34068.5,0.31,2.083GB / 2.092GB,0B / 0B
2026-04-01 15:05:31,12,37.86,102.7MB,34068.5,0.31,2.119GB / 2.127GB,0B / 0B
2026-04-01 15:05:44,13,38.14,102.9MB,34068.5,0.31,2.149GB / 2.158GB,0B / 0B
2026-04-01 15:05:57,13,38.40,103.1MB,34068.5,0.31,2.183GB / 2.192GB,0B / 0B
2026-04-01 15:06:09,13,38.63,103.1MB,34068.5,0.31,2.218GB / 2.227GB,0B / 0B
