timestamp,elapsed_min,cpu_perc,mem_usage_mb,mem_limit_mb,mem_perc,net_io,block_io
2026-04-01 14:52:32,0,0.30,92.2MB,34068.5,0.28,187kB / 166.2kB,0B / 0B
2026-04-01 14:52:44,0,0.33,95.79MB,34068.5,0.29,192.2kB / 170.9kB,0B / 0B
2026-04-01 14:52:55,0,0.35,95.54MB,34068.5,0.29,197.6kB / 175.7kB,0B / 0B
2026-04-01 14:53:07,0,0.36,95.54MB,34068.5,0.29,202.9kB / 180.6kB,0B / 0B
2026-04-01 14:53:19,0,0.38,95.54MB,34068.5,0.29,208.2kB / 185.5kB,0B / 0B
2026-04-01 14:53:31,0,1.12,127.3MB,34068.5,0.38,5.105MB / 380kB,0B / 0B
2026-04-01 14:53:44,1,3.58,128.1MB,34068.5,0.38,24.32MB / 1.122MB,0B / 0B
2026-04-01 14:53:56,1,5.99,128.9MB,34068.5,0.39,42.17MB / 1.818MB,0B / 0B
2026-04-01 14:54:08,1,8.29,128.8MB,34068.5,0.39,57.71MB / 2.435MB,0B / 0B
2026-04-01 14:54:21,1,10.49,130.2MB,34068.5,0.39,72.42MB / 3.026MB,0B / 0B
2026-04-01 14:54:33,2,12.56,129.5MB,34068.5,0.39,87.54MB / 3.628MB,0B / 0B
2026-04-01 14:54:46,2,14.54,129.8MB,34068.5,0.39,102.4MB / 4.223MB,0B / 0B
2026-04-01 14:54:58,2,16.39,130.2MB,34068.5,0.39,118MB / 4.841MB,0B / 0B
2026-04-01 14:55:11,2,18.19,131.5MB,34068.5,0.40,133.8MB / 5.465MB,0B / 0B
2026-04-01 14:55:23,2,19.90,132.3MB,34068.5,0.40,148.6MB / 6.055MB,0B / 0B
2026-04-01 14:55:36,3,21.54,131.7MB,34068.5,0.40,164.3MB / 6.666MB,0B / 0B
2026-04-01 14:55:49,3,23.09,132.4MB,34068.5,0.40,179.5MB / 7.274MB,0B / 0B
2026-04-01 14:56:01,3,24.58,132.2MB,34068.5,0.40,195MB / 7.888MB,0B / 0B
