timestamp,elapsed_min,cpu_perc,mem_usage_mb,mem_limit_mb,mem_perc,net_io,block_io
2026-04-01 14:52:32,0,0.32,107.9MB,34068.5,0.32,210.1kB / 162kB,32.77kB / 0B
2026-04-01 14:52:44,0,0.33,111.7MB,34068.5,0.34,215.4kB / 166.4kB,32.77kB / 0B
2026-04-01 14:52:55,0,0.34,111.2MB,34068.5,0.33,220.5kB / 170.6kB,32.77kB / 0B
2026-04-01 14:53:07,0,0.36,110.9MB,34068.5,0.33,225.4kB / 174.5kB,32.77kB / 0B
2026-04-01 14:53:19,0,0.38,111.2MB,34068.5,0.33,230.4kB / 178.7kB,32.77kB / 0B
2026-04-01 14:53:31,0,0.45,111.5MB,34068.5,0.34,290.3kB / 262kB,32.77kB / 0B
2026-04-01 14:53:44,1,0.85,112.4MB,34068.5,0.34,662.9kB / 804.6kB,32.77kB / 0B
2026-04-01 14:53:56,1,1.20,112.5MB,34068.5,0.34,1.004MB / 1.304MB,32.77kB / 0B
2026-04-01 14:54:08,1,1.54,112.3MB,34068.5,0.34,1.298MB / 1.745MB,32.77kB / 0B
2026-04-01 14:54:21,1,1.85,111.8MB,34068.5,0.34,1.577MB / 2.161MB,32.77kB / 0B
2026-04-01 14:54:33,2,2.14,112.1MB,34068.5,0.34,1.865MB / 2.593MB,32.77kB / 0B
2026-04-01 14:54:46,2,2.44,111.9MB,34068.5,0.34,2.149MB / 3.017MB,32.77kB / 0B
2026-04-01 14:54:58,2,2.73,112.5MB,34068.5,0.34,2.446MB / 3.462MB,32.77kB / 0B
2026-04-01 14:55:11,2,3.01,112.7MB,34068.5,0.34,2.745MB / 3.907MB,32.77kB / 0B
2026-04-01 14:55:23,2,3.27,112MB,34068.5,0.34,3.031MB / 4.338MB,32.77kB / 0B
2026-04-01 14:55:36,3,3.53,112.1MB,34068.5,0.34,3.327MB / 4.78MB,32.77kB / 0B
2026-04-01 14:55:49,3,3.77,112.4MB,34068.5,0.34,3.616MB / 5.213MB,32.77kB / 0B
2026-04-01 14:56:01,3,3.99,112.4MB,34068.5,0.34,3.912MB / 5.653MB,32.77kB / 0B
2026-04-01 14:56:13,3,4.22,113.7MB,34068.5,0.34,4.237MB / 6.137MB,32.77kB / 0B
2026-04-01 14:56:26,3,4.43,113MB,34068.5,0.34,4.549MB / 6.602MB,32.77kB / 0B
2026-04-01 14:56:38,4,4.65,112.8MB,34068.5,0.34,4.883MB / 7.097MB,32.77kB / 0B
2026-04-01 14:56:51,4,4.86,113.7MB,34068.5,0.34,5.214MB / 7.587MB,32.77kB / 0B
2026-04-01 14:57:03,4,5.04,113MB,34068.5,0.34,5.531MB / 8.057MB,32.77kB / 0B
2026-04-01 14:57:16,4,5.23,112.8MB,34068.5,0.34,5.863MB / 8.55MB,32.77kB / 0B
2026-04-01 14:57:28,4,5.42,114MB,34068.5,0.34,6.206MB / 9.057MB,32.77kB / 0B
2026-04-01 14:57:41,5,5.59,90.24MB,34068.5,0.27,6.534MB / 9.546MB,32.77kB / 0B
2026-04-01 14:57:53,5,5.76,90.01MB,34068.5,0.27,6.86MB / 10.03MB,32.77kB / 0B
2026-04-01 14:58:05,5,5.93,90.55MB,34068.5,0.27,7.192MB / 10.52MB,32.77kB / 0B
2026-04-01 14:58:18,5,6.09,90.08MB,34068.5,0.27,7.53MB / 11.02MB,32.77kB / 0B
2026-04-01 14:58:30,5,6.25,90.11MB,34068.5,0.27,7.863MB / 11.51MB,32.77kB / 0B
2026-04-01 14:58:43,6,6.39,90.67MB,34068.5,0.27,8.183MB / 11.99MB,32.77kB / 0B
2026-04-01 14:58:55,6,6.54,89.91MB,34068.5,0.27,8.516MB / 12.48MB,32.77kB / 0B
2026-04-01 14:59:07,6,6.68,90.46MB,34068.5,0.27,8.85MB / 12.98MB,32.77kB / 0B
2026-04-01 14:59:20,6,6.82,90.23MB,34068.5,0.27,9.186MB / 13.48MB,32.77kB / 0B
2026-04-01 14:59:32,7,6.95,90.8MB,34068.5,0.27,9.507MB / 13.96MB,32.77kB / 0B
2026-04-01 14:59:44,7,7.07,90.3MB,34068.5,0.27,9.827MB / 14.43MB,32.77kB / 0B
2026-04-01 14:59:57,7,7.20,90.6MB,34068.5,0.27,10.16MB / 14.93MB,32.77kB / 0B
2026-04-01 15:00:09,7,7.32,90.11MB,34068.5,0.27,10.48MB / 15.4MB,32.77kB / 0B
2026-04-01 15:00:21,7,7.43,90.14MB,34068.5,0.27,10.8MB / 15.88MB,32.77kB / 0B
2026-04-01 15:00:34,8,7.54,90.42MB,34068.5,0.27,11.12MB / 16.35MB,32.77kB / 0B
2026-04-01 15:00:46,8,7.66,90.97MB,34068.5,0.27,11.46MB / 16.85MB,32.77kB / 0B
2026-04-01 15:00:58,8,7.77,90.5MB,34068.5,0.27,11.78MB / 17.33MB,32.77kB / 0B
2026-04-01 15:01:11,8,7.87,90.53MB,34068.5,0.27,12.1MB / 17.8MB,32.77kB / 0B
2026-04-01 15:01:23,8,7.96,91.09MB,34068.5,0.27,12.4MB / 18.25MB,32.77kB / 0B
2026-04-01 15:01:35,9,8.06,90.84MB,34068.5,0.27,12.72MB / 18.73MB,32.77kB / 0B
2026-04-01 15:01:48,9,8.16,90.89MB,34068.5,0.27,13.05MB / 19.22MB,32.77kB / 0B
2026-04-01 15:02:00,9,8.24,90.66MB,34068.5,0.27,13.36MB / 19.68MB,32.77kB / 0B
2026-04-01 15:02:12,9,8.35,90.69MB,34068.5,0.27,13.69MB / 20.17MB,32.77kB / 0B
2026-04-01 15:02:25,9,8.45,90.7MB,34068.5,0.27,14.02MB / 20.66MB,32.77kB / 0B
2026-04-01 15:02:37,10,8.53,90.77MB,34068.5,0.27,14.34MB / 21.13MB,32.77kB / 0B
2026-04-01 15:02:50,10,8.61,91.05MB,34068.5,0.27,14.65MB / 21.6MB,32.77kB / 0B
2026-04-01 15:03:02,10,8.70,91.59MB,34068.5,0.28,15MB / 22.11MB,32.77kB / 0B
2026-04-01 15:03:14,10,8.78,90.59MB,34068.5,0.27,15.32MB / 22.59MB,32.77kB / 0B
2026-04-01 15:03:27,10,8.86,90.63MB,34068.5,0.27,15.64MB / 23.06MB,32.77kB / 0B
2026-04-01 15:03:39,11,8.94,91.16MB,34068.5,0.27,15.96MB / 23.54MB,32.77kB / 0B
2026-04-01 15:03:51,11,9.03,91.21MB,34068.5,0.27,16.31MB / 24.06MB,32.77kB / 0B
2026-04-01 15:04:04,11,9.11,90.73MB,34068.5,0.27,16.66MB / 24.57MB,32.77kB / 0B
2026-04-01 15:04:16,11,9.19,91.29MB,34068.5,0.27,16.99MB / 25.07MB,32.77kB / 0B
2026-04-01 15:04:29,11,9.27,91.57MB,34068.5,0.28,17.33MB / 25.58MB,32.77kB / 0B
2026-04-01 15:04:41,12,9.35,91.08MB,34068.5,0.27,17.68MB / 26.09MB,32.77kB / 0B
2026-04-01 15:04:54,12,9.43,90.86MB,34068.5,0.27,18.02MB / 26.6MB,32.77kB / 0B
2026-04-01 15:05:06,12,9.50,91.41MB,34068.5,0.27,18.35MB / 27.09MB,32.77kB / 0B
2026-04-01 15:05:18,12,9.56,90.92MB,34068.5,0.27,18.68MB / 27.58MB,32.77kB / 0B
2026-04-01 15:05:31,12,9.62,90.96MB,34068.5,0.27,18.97MB / 28.01MB,32.77kB / 0B
2026-04-01 15:05:44,13,9.65,91.23MB,34068.5,0.27,19.2MB / 28.35MB,32.77kB / 0B
2026-04-01 15:05:57,13,9.72,91.26MB,34068.5,0.27,19.48MB / 28.77MB,32.77kB / 0B
2026-04-01 15:06:09,13,9.78,91.3MB,34068.5,0.27,19.78MB / 29.21MB,32.77kB / 0B
2026-04-01 15:06:22,13,9.84,91.84MB,34068.5,0.28,20.07MB / 29.66MB,32.77kB / 0B
2026-04-01 15:06:34,14,9.90,91.87MB,34068.5,0.28,20.37MB / 30.1MB,32.77kB / 0B
2026-04-01 15:06:47,14,9.95,91.12MB,34068.5,0.27,20.67MB / 30.56MB,32.77kB / 0B
