timestamp,elapsed_min,gc_collected_gen0,gc_collected_gen1,gc_collected_gen2,gc_uncollectable_gen0,gc_uncollectable_gen1,gc_uncollectable_gen2,gc_collections_gen0,gc_collections_gen1,gc_collections_gen2,process_rss_bytes,process_vm_bytes,process_cpu_seconds,open_fds,ccx_received,ccx_failures_ocp,ccx_processed_ocp,ccx_published_ocp,broker_instances,broker_exceptions,broker_tracebacks
2026-04-01 14:52:32,0,1530.0,837.0,57.0,0.0,0.0,0.0,239.0,21.0,1.0,8.9186304e+07,8.65144832e+08,1.32,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-01 14:52:44,0,1530.0,837.0,57.0,0.0,0.0,0.0,239.0,21.0,1.0,8.9186304e+07,8.65144832e+08,1.33,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-01 14:52:55,0,1530.0,837.0,57.0,0.0,0.0,0.0,239.0,21.0,1.0,8.9186304e+07,8.65144832e+08,1.35,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-01 14:53:07,0,1530.0,837.0,57.0,0.0,0.0,0.0,239.0,21.0,1.0,8.9186304e+07,8.65144832e+08,1.36,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-01 14:53:19,0,1530.0,837.0,57.0,0.0,0.0,0.0,239.0,21.0,1.0,8.9186304e+07,8.65144832e+08,1.38,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-01 14:53:31,0,2192.0,1327.0,57.0,0.0,0.0,0.0,242.0,22.0,1.0,9.0189824e+07,8.65144832e+08,1.79,21.0,35.0,0.0,35.0,35.0,2.0,0.0,0.0
2026-04-01 14:53:44,1,7684.0,1327.0,627.0,0.0,0.0,0.0,252.0,22.0,2.0,9.0451968e+07,8.65144832e+08,3.7600000000000002,21.0,217.0,0.0,217.0,217.0,2.0,0.0,0.0
2026-04-01 14:53:56,1,13039.0,1922.0,627.0,0.0,0.0,0.0,261.0,23.0,2.0,9.0451968e+07,8.66193408e+08,5.5600000000000005,22.0,385.0,0.0,384.0,384.0,2.0,0.0,0.0
2026-04-01 14:54:08,1,17799.0,2517.0,627.0,0.0,0.0,0.0,269.0,24.0,2.0,9.0451968e+07,8.66193408e+08,7.47,21.0,532.0,0.0,532.0,532.0,2.0,0.0,0.0
2026-04-01 14:54:21,1,21684.0,3182.0,627.0,0.0,0.0,0.0,275.0,25.0,2.0,9.0451968e+07,8.66193408e+08,9.16,21.0,668.0,0.0,668.0,668.0,2.0,0.0,0.0
2026-04-01 14:54:33,2,27004.0,3182.0,627.0,0.0,0.0,0.0,283.0,25.0,2.0,9.0451968e+07,8.66193408e+08,10.97,23.0,812.0,0.0,811.0,811.0,2.0,0.0,0.0
2026-04-01 14:54:46,2,30994.0,3847.0,627.0,0.0,0.0,0.0,289.0,26.0,2.0,9.0451968e+07,8.66193408e+08,12.73,21.0,951.0,0.0,951.0,951.0,2.0,0.0,0.0
2026-04-01 14:54:58,2,36314.0,3847.0,627.0,0.0,0.0,0.0,297.0,26.0,2.0,9.0451968e+07,8.66193408e+08,14.63,21.0,1097.0,0.0,1097.0,1097.0,2.0,0.0,0.0
2026-04-01 14:55:11,2,40969.0,4512.0,627.0,0.0,0.0,0.0,304.0,27.0,2.0,9.0451968e+07,8.66193408e+08,16.55,23.0,1246.0,0.0,1245.0,1245.0,2.0,0.0,0.0
2026-04-01 14:55:23,2,44959.0,5177.0,627.0,0.0,0.0,0.0,310.0,28.0,2.0,9.0451968e+07,8.66193408e+08,18.39,21.0,1386.0,0.0,1386.0,1386.0,2.0,0.0,0.0
2026-04-01 14:55:36,3,50279.0,5177.0,627.0,0.0,0.0,0.0,318.0,28.0,2.0,9.0451968e+07,8.66193408e+08,20.28,21.0,1532.0,0.0,1532.0,1532.0,2.0,0.0,0.0
2026-04-01 14:55:49,3,54269.0,5842.0,627.0,0.0,0.0,0.0,324.0,29.0,2.0,9.0451968e+07,8.66193408e+08,22.08,21.0,1675.0,0.0,1675.0,1675.0,2.0,0.0,0.0
2026-04-01 14:56:01,3,58924.0,6507.0,627.0,0.0,0.0,0.0,331.0,30.0,2.0,9.058304e+07,8.66193408e+08,23.849999999999998,21.0,1821.0,0.0,1821.0,1821.0,2.0,0.0,0.0
2026-04-01 14:56:13,3,64244.0,6507.0,627.0,0.0,0.0,0.0,339.0,30.0,2.0,9.058304e+07,8.66193408e+08,25.78,21.0,1981.0,0.0,1981.0,1981.0,2.0,0.0,0.0
2026-04-01 14:56:26,3,68972.0,7172.0,627.0,0.0,0.0,0.0,346.0,31.0,2.0,9.058304e+07,8.66193408e+08,27.630000000000003,21.0,2138.0,0.0,2138.0,2138.0,2.0,0.0,0.0
2026-04-01 14:56:38,4,74292.0,7869.0,627.0,0.0,0.0,0.0,354.0,32.0,2.0,9.058304e+07,8.66193408e+08,29.48,21.0,2301.0,0.0,2301.0,2301.0,2.0,0.0,0.0
2026-04-01 14:56:51,4,79752.0,7869.0,627.0,0.0,0.0,0.0,362.0,32.0,2.0,9.058304e+07,8.66193408e+08,31.41,21.0,2465.0,0.0,2465.0,2465.0,2.0,0.0,0.0
2026-04-01 14:57:03,4,84515.0,8566.0,627.0,0.0,0.0,0.0,369.0,33.0,2.0,9.058304e+07,8.66193408e+08,33.23,22.0,2624.0,0.0,2623.0,2623.0,2.0,0.0,0.0
2026-04-01 14:57:16,4,89937.0,9234.0,627.0,0.0,0.0,0.0,377.0,34.0,2.0,9.058304e+07,8.66193408e+08,35.08,21.0,2785.0,0.0,2785.0,2785.0,2.0,0.0,0.0
2026-04-01 14:57:28,4,95397.0,9899.0,627.0,0.0,0.0,0.0,385.0,35.0,2.0,9.058304e+07,8.66193408e+08,37.02,23.0,2955.0,0.0,2954.0,2954.0,2.0,0.0,0.0
2026-04-01 14:57:41,5,100857.0,9899.0,627.0,0.0,0.0,0.0,393.0,35.0,2.0,9.058304e+07,8.66193408e+08,38.910000000000004,21.0,3117.0,0.0,3117.0,3117.0,2.0,0.0,0.0
2026-04-01 14:57:53,5,105620.0,10596.0,627.0,0.0,0.0,0.0,400.0,36.0,2.0,9.058304e+07,8.66193408e+08,40.78,23.0,3279.0,0.0,3278.0,3278.0,2.0,0.0,0.0
2026-04-01 14:58:05,5,110832.0,11264.0,627.0,0.0,0.0,0.0,408.0,37.0,2.0,9.058304e+07,8.66193408e+08,42.64,21.0,3442.0,0.0,3442.0,3442.0,2.0,0.0,0.0
2026-04-01 14:58:18,5,116292.0,11264.0,627.0,0.0,0.0,0.0,416.0,37.0,2.0,9.058304e+07,8.66193408e+08,44.53,21.0,3610.0,0.0,3610.0,3610.0,2.0,0.0,0.0
2026-04-01 14:58:30,5,121720.0,11961.0,627.0,0.0,0.0,0.0,424.0,38.0,2.0,9.058304e+07,8.66193408e+08,46.459999999999994,21.0,3773.0,0.0,3773.0,3773.0,2.0,0.0,0.0
2026-04-01 14:58:43,6,126483.0,12658.0,627.0,0.0,0.0,0.0,431.0,39.0,2.0,9.058304e+07,8.66193408e+08,48.31,21.0,3932.0,0.0,3932.0,3932.0,2.0,0.0,0.0
2026-04-01 14:58:55,6,131943.0,12658.0,627.0,0.0,0.0,0.0,439.0,39.0,2.0,9.058304e+07,8.66193408e+08,50.160000000000004,23.0,4096.0,0.0,4095.0,4095.0,2.0,0.0,0.0
2026-04-01 14:59:07,6,137365.0,13326.0,627.0,0.0,0.0,0.0,447.0,40.0,2.0,9.058304e+07,8.66193408e+08,52.08,21.0,4263.0,0.0,4263.0,4263.0,2.0,0.0,0.0
2026-04-01 14:59:20,6,142825.0,13994.0,627.0,0.0,0.0,0.0,455.0,41.0,2.0,9.058304e+07,8.66193408e+08,54.019999999999996,21.0,4429.0,0.0,4429.0,4429.0,2.0,0.0,0.0
2026-04-01 14:59:32,7,147617.0,14662.0,627.0,0.0,0.0,0.0,462.0,42.0,2.0,9.058304e+07,8.66193408e+08,55.839999999999996,21.0,4586.0,0.0,4586.0,4586.0,2.0,0.0,0.0
2026-04-01 14:59:44,7,153077.0,14662.0,627.0,0.0,0.0,0.0,470.0,42.0,2.0,9.058304e+07,8.66193408e+08,57.64,21.0,4745.0,0.0,4745.0,4745.0,2.0,0.0,0.0
2026-04-01 14:59:57,7,157869.0,15330.0,627.0,0.0,0.0,0.0,477.0,43.0,2.0,9.058304e+07,8.66193408e+08,59.6,21.0,4911.0,0.0,4911.0,4911.0,2.0,0.0,0.0
2026-04-01 15:00:09,7,163218.0,15998.0,627.0,0.0,0.0,0.0,485.0,44.0,2.0,9.058304e+07,8.66193408e+08,61.47,23.0,5070.0,0.0,5069.0,5069.0,2.0,0.0,0.0
2026-04-01 15:00:21,7,168678.0,15998.0,627.0,0.0,0.0,0.0,493.0,44.0,2.0,9.058304e+07,8.66193408e+08,63.269999999999996,21.0,5227.0,0.0,5227.0,5227.0,2.0,0.0,0.0
2026-04-01 15:00:34,8,173470.0,16666.0,627.0,0.0,0.0,0.0,500.0,45.0,2.0,9.058304e+07,8.66193408e+08,65.1,21.0,5383.0,0.0,5383.0,5383.0,2.0,0.0,0.0
2026-04-01 15:00:46,8,178262.0,17334.0,627.0,0.0,0.0,0.0,507.0,46.0,2.0,9.058304e+07,8.66193408e+08,67.06,23.0,5550.0,0.0,5549.0,5549.0,2.0,0.0,0.0
2026-04-01 15:00:58,8,184247.0,17334.0,627.0,0.0,0.0,0.0,516.0,46.0,2.0,9.058304e+07,8.66193408e+08,68.95,21.0,5710.0,0.0,5710.0,5710.0,2.0,0.0,0.0
2026-04-01 15:01:11,8,189010.0,18031.0,627.0,0.0,0.0,0.0,523.0,47.0,2.0,9.058304e+07,8.66193408e+08,70.73,21.0,5865.0,0.0,5865.0,5865.0,2.0,0.0,0.0
2026-04-01 15:01:23,8,193076.0,18728.0,627.0,0.0,0.0,0.0,529.0,48.0,2.0,9.058304e+07,8.66193408e+08,72.44999999999999,22.0,6016.0,0.0,6015.0,6015.0,2.0,0.0,0.0
2026-04-01 15:01:35,9,199163.0,18728.0,627.0,0.0,0.0,0.0,538.0,48.0,2.0,9.058304e+07,8.66193408e+08,74.33,21.0,6175.0,0.0,6175.0,6175.0,2.0,0.0,0.0
2026-04-01 15:01:48,9,203926.0,19425.0,627.0,0.0,0.0,0.0,545.0,49.0,2.0,9.058304e+07,8.66193408e+08,76.17999999999999,23.0,6339.0,0.0,6338.0,6338.0,2.0,0.0,0.0
2026-04-01 15:02:00,9,208689.0,20122.0,627.0,0.0,0.0,0.0,552.0,50.0,2.0,9.058304e+07,8.66193408e+08,77.97,22.0,6493.0,0.0,6492.0,6492.0,2.0,0.0,0.0
2026-04-01 15:02:12,9,214149.0,20122.0,627.0,0.0,0.0,0.0,560.0,50.0,2.0,9.058304e+07,8.66193408e+08,79.92999999999999,23.0,6657.0,0.0,6656.0,6656.0,2.0,0.0,0.0
2026-04-01 15:02:25,9,219536.0,20790.0,627.0,0.0,0.0,0.0,568.0,51.0,2.0,9.058304e+07,8.66193408e+08,81.87,23.0,6818.0,0.0,6817.0,6817.0,2.0,0.0,0.0
2026-04-01 15:02:37,10,224328.0,21458.0,627.0,0.0,0.0,0.0,575.0,52.0,2.0,9.058304e+07,8.66193408e+08,83.71000000000001,21.0,6975.0,0.0,6975.0,6975.0,2.0,0.0,0.0
2026-04-01 15:02:50,10,229788.0,21458.0,627.0,0.0,0.0,0.0,583.0,52.0,2.0,9.058304e+07,8.66193408e+08,85.47,21.0,7130.0,0.0,7130.0,7130.0,2.0,0.0,0.0
2026-04-01 15:03:02,10,234580.0,22126.0,627.0,0.0,0.0,0.0,590.0,53.0,2.0,9.058304e+07,8.66193408e+08,87.46000000000001,21.0,7299.0,0.0,7299.0,7299.0,2.0,0.0,0.0
2026-04-01 15:03:14,10,239973.0,22823.0,627.0,0.0,0.0,0.0,598.0,54.0,2.0,9.058304e+07,8.66193408e+08,89.31,21.0,7459.0,0.0,7459.0,7459.0,2.0,0.0,0.0
2026-04-01 15:03:27,10,244736.0,23520.0,627.0,0.0,0.0,0.0,605.0,55.0,2.0,9.058304e+07,8.66193408e+08,91.13,23.0,7617.0,0.0,7616.0,7616.0,2.0,0.0,0.0
2026-04-01 15:03:39,11,250196.0,23520.0,627.0,0.0,0.0,0.0,613.0,55.0,2.0,9.058304e+07,8.66193408e+08,92.94,21.0,7777.0,0.0,7777.0,7777.0,2.0,0.0,0.0
2026-04-01 15:03:51,11,255627.0,24217.0,627.0,0.0,0.0,0.0,621.0,56.0,2.0,9.058304e+07,8.66193408e+08,94.99,21.0,7950.0,0.0,7950.0,7950.0,2.0,0.0,0.0
2026-04-01 15:04:04,11,261087.0,24914.0,627.0,0.0,0.0,0.0,629.0,57.0,2.0,9.058304e+07,8.66193408e+08,96.97,23.0,8119.0,0.0,8118.0,8118.0,2.0,0.0,0.0
2026-04-01 15:04:16,11,266547.0,24914.0,627.0,0.0,0.0,0.0,637.0,57.0,2.0,9.058304e+07,8.66193408e+08,98.88,21.0,8287.0,0.0,8287.0,8287.0,2.0,0.0,0.0
2026-04-01 15:04:29,11,271978.0,25611.0,627.0,0.0,0.0,0.0,645.0,58.0,2.0,9.058304e+07,8.66193408e+08,100.87,21.0,8454.0,0.0,8454.0,8454.0,2.0,0.0,0.0
2026-04-01 15:04:41,12,277438.0,26308.0,627.0,0.0,0.0,0.0,653.0,59.0,2.0,9.058304e+07,8.66193408e+08,102.85,21.0,8625.0,0.0,8625.0,8625.0,2.0,0.0,0.0
2026-04-01 15:04:54,12,282201.0,27005.0,627.0,0.0,0.0,0.0,660.0,60.0,2.0,9.058304e+07,8.66193408e+08,104.81,21.0,8795.0,0.0,8795.0,8795.0,2.0,0.0,0.0
2026-04-01 15:05:06,12,287661.0,27005.0,627.0,0.0,0.0,0.0,668.0,60.0,2.0,9.058304e+07,8.66193408e+08,106.63,21.0,8955.0,0.0,8955.0,8955.0,2.0,0.0,0.0
2026-04-01 15:05:18,12,293083.0,27673.0,627.0,0.0,0.0,0.0,676.0,61.0,2.0,9.058304e+07,8.66193408e+08,108.57,21.0,9120.0,0.0,9120.0,9120.0,2.0,0.0,0.0
2026-04-01 15:05:31,12,297178.0,28341.0,627.0,0.0,0.0,0.0,682.0,62.0,2.0,9.058304e+07,8.66193408e+08,110.31,21.0,9262.0,0.0,9262.0,9262.0,2.0,0.0,0.0
2026-04-01 15:05:44,13,301273.0,28341.0,627.0,0.0,0.0,0.0,688.0,62.0,2.0,9.058304e+07,8.66193408e+08,111.92999999999999,23.0,9375.0,0.0,9374.0,9374.0,2.0,0.0,0.0
2026-04-01 15:05:57,13,305397.0,29009.0,627.0,0.0,0.0,0.0,694.0,63.0,2.0,9.058304e+07,8.66193408e+08,113.78,21.0,9515.0,0.0,9515.0,9515.0,2.0,0.0,0.0
2026-04-01 15:06:09,13,310857.0,29009.0,627.0,0.0,0.0,0.0,702.0,63.0,2.0,9.058304e+07,8.66193408e+08,115.59,21.0,9660.0,0.0,9660.0,9660.0,2.0,0.0,0.0
