timestamp,elapsed_min,cpu_perc,mem_usage_mb,mem_limit_mb,mem_perc,net_io,block_io
2026-05-18 15:19:42,0,0.71,109.2MB,34068.5,0.33,68.3kB / 52.48kB,8.192kB / 0B
2026-05-18 15:19:54,0,0.71,112.9MB,34068.5,0.34,73.52kB / 56.7kB,8.192kB / 0B
2026-05-18 15:20:06,0,0.71,113.2MB,34068.5,0.34,78.67kB / 61.09kB,8.192kB / 0B
2026-05-18 15:20:18,0,0.72,112.9MB,34068.5,0.34,83.74kB / 65.24kB,8.192kB / 0B
2026-05-18 15:20:30,0,0.72,112.7MB,34068.5,0.34,88.81kB / 69.4kB,8.192kB / 0B
2026-05-18 15:20:42,1,0.73,112.9MB,34068.5,0.34,93.67kB / 73.39kB,8.192kB / 0B
2026-05-18 15:20:54,1,1.43,113.2MB,34068.5,0.34,8.058MB / 8.105MB,8.192kB / 0B
2026-05-18 15:21:06,1,2.32,114.1MB,34068.5,0.34,18.57MB / 18.6MB,8.192kB / 0B
2026-05-18 15:21:18,1,3.10,113.7MB,34068.5,0.34,29.08MB / 29.3MB,8.192kB / 0B
2026-05-18 15:21:30,1,3.73,114.4MB,34068.5,0.34,39.69MB / 40.01MB,8.192kB / 0B
2026-05-18 15:21:42,2,4.33,114.6MB,34068.5,0.34,49.99MB / 50.39MB,8.192kB / 0B
2026-05-18 15:21:54,2,4.84,114.3MB,34068.5,0.34,60.5MB / 60.99MB,8.192kB / 0B
2026-05-18 15:22:06,2,5.34,114.2MB,34068.5,0.34,70.9MB / 71.48MB,8.192kB / 0B
2026-05-18 15:22:18,2,5.82,115.2MB,34068.5,0.35,81.52MB / 82.19MB,8.192kB / 0B
2026-05-18 15:22:30,2,6.24,114.1MB,34068.5,0.34,91.92MB / 92.68MB,8.192kB / 0B
2026-05-18 15:22:42,3,6.64,114.8MB,34068.5,0.34,102.5MB / 103.4MB,8.192kB / 0B
2026-05-18 15:22:54,3,7.00,114.2MB,34068.5,0.34,113.2MB / 114.1MB,8.192kB / 0B
2026-05-18 15:23:06,3,7.34,114.8MB,34068.5,0.35,123.8MB / 124.8MB,8.192kB / 0B
2026-05-18 15:23:18,3,7.66,114.8MB,34068.5,0.35,134.2MB / 135.3MB,8.192kB / 0B
2026-05-18 15:23:30,3,7.95,114.8MB,34068.5,0.35,144.7MB / 145.9MB,8.192kB / 0B
2026-05-18 15:23:42,4,8.21,114.5MB,34068.5,0.34,155.2MB / 156.5MB,8.192kB / 0B
2026-05-18 15:23:54,4,8.50,115.3MB,34068.5,0.35,165.7MB / 167.1MB,8.192kB / 0B
2026-05-18 15:24:06,4,8.74,115.4MB,34068.5,0.35,176.3MB / 177.8MB,8.192kB / 0B
2026-05-18 15:24:18,4,8.96,115.2MB,34068.5,0.35,186.9MB / 188.5MB,8.192kB / 0B
2026-05-18 15:24:30,4,9.19,115.4MB,34068.5,0.35,197.4MB / 199.1MB,8.192kB / 0B
2026-05-18 15:24:42,5,9.41,115.8MB,34068.5,0.35,207.9MB / 209.7MB,8.192kB / 0B
2026-05-18 15:24:54,5,9.59,114.9MB,34068.5,0.35,218.4MB / 220.2MB,8.192kB / 0B
2026-05-18 15:25:06,5,9.80,116MB,34068.5,0.35,229MB / 230.9MB,8.192kB / 0B
2026-05-18 15:25:18,5,9.97,114.8MB,34068.5,0.35,239.4MB / 241.4MB,8.192kB / 0B
2026-05-18 15:25:30,5,10.14,115.6MB,34068.5,0.35,249.8MB / 251.9MB,8.192kB / 0B
2026-05-18 15:25:42,6,10.29,114.9MB,34068.5,0.35,260.2MB / 262.4MB,8.192kB / 0B
2026-05-18 15:25:54,6,10.41,115.9MB,34068.5,0.35,270.7MB / 273MB,8.192kB / 0B
2026-05-18 15:26:06,6,10.55,90.31MB,34068.5,0.27,281.2MB / 283.6MB,8.192kB / 0B
2026-05-18 15:26:18,6,10.68,90.42MB,34068.5,0.27,291.7MB / 294.2MB,8.192kB / 0B
2026-05-18 15:26:30,6,10.82,89.98MB,34068.5,0.27,302.2MB / 304.8MB,8.192kB / 0B
2026-05-18 15:26:42,7,10.93,90.9MB,34068.5,0.27,312.7MB / 315.4MB,8.192kB / 0B
2026-05-18 15:26:54,7,11.04,90.55MB,34068.5,0.27,323.2MB / 326MB,8.192kB / 0B
2026-05-18 15:27:06,7,11.15,90.66MB,34068.5,0.27,333.7MB / 336.6MB,8.192kB / 0B
2026-05-18 15:27:18,7,11.24,91.15MB,34068.5,0.27,344.3MB / 347.2MB,8.192kB / 0B
2026-05-18 15:27:30,7,11.36,90.22MB,34068.5,0.27,354.9MB / 357.9MB,8.192kB / 0B
2026-05-18 15:27:42,8,11.46,90.06MB,34068.5,0.27,365.6MB / 368.7MB,8.192kB / 0B
2026-05-18 15:27:54,8,11.55,90.49MB,34068.5,0.27,376.2MB / 379.4MB,8.192kB / 0B
2026-05-18 15:28:07,8,11.63,90.18MB,34068.5,0.27,386.7MB / 390MB,8.192kB / 0B
2026-05-18 15:28:19,8,11.70,90.1MB,34068.5,0.27,397.1MB / 400.5MB,8.192kB / 0B
2026-05-18 15:28:31,8,11.81,90.26MB,34068.5,0.27,407.6MB / 411.1MB,8.192kB / 0B
2026-05-18 15:28:43,9,11.90,91.07MB,34068.5,0.27,418.1MB / 421.7MB,8.192kB / 0B
2026-05-18 15:28:55,9,11.99,90.64MB,34068.5,0.27,428.7MB / 432.3MB,8.192kB / 0B
2026-05-18 15:29:07,9,12.06,90.38MB,34068.5,0.27,439.2MB / 442.9MB,8.192kB / 0B
2026-05-18 15:29:19,9,12.15,91.8MB,34068.5,0.28,449.7MB / 453.5MB,8.192kB / 0B
2026-05-18 15:29:31,9,12.22,90.38MB,34068.5,0.27,460.2MB / 464.1MB,8.192kB / 0B
2026-05-18 15:29:43,10,12.29,91.49MB,34068.5,0.27,471.2MB / 475.2MB,8.192kB / 0B
2026-05-18 15:29:56,10,12.36,90.6MB,34068.5,0.27,481.7MB / 485.8MB,8.192kB / 0B
2026-05-18 15:30:08,10,12.43,91.02MB,34068.5,0.27,492.3MB / 496.5MB,8.192kB / 0B
2026-05-18 15:30:20,10,12.49,92.15MB,34068.5,0.28,502.9MB / 507.1MB,8.192kB / 0B
2026-05-18 15:30:31,10,12.55,90.64MB,34068.5,0.27,513.3MB / 517.6MB,8.192kB / 0B
2026-05-18 15:30:43,11,12.60,90.55MB,34068.5,0.27,523.7MB / 528.1MB,8.192kB / 0B
2026-05-18 15:30:55,11,12.64,91.14MB,34068.5,0.27,534.2MB / 538.7MB,8.192kB / 0B
2026-05-18 15:31:07,11,12.69,90.59MB,34068.5,0.27,544.8MB / 549.4MB,8.192kB / 0B
2026-05-18 15:31:19,11,12.74,91.4MB,34068.5,0.27,555.3MB / 560MB,8.192kB / 0B
2026-05-18 15:31:31,11,12.78,90.78MB,34068.5,0.27,565.7MB / 570.5MB,8.192kB / 0B
2026-05-18 15:31:43,12,12.84,91.57MB,34068.5,0.28,576.3MB / 581.2MB,8.192kB / 0B
2026-05-18 15:31:55,12,12.88,90.5MB,34068.5,0.27,586.8MB / 591.8MB,8.192kB / 0B
2026-05-18 15:32:07,12,12.93,90.85MB,34068.5,0.27,597.3MB / 602.4MB,8.192kB / 0B
2026-05-18 15:32:19,12,12.98,90.87MB,34068.5,0.27,607.7MB / 612.9MB,8.192kB / 0B
2026-05-18 15:32:31,12,13.02,91.27MB,34068.5,0.27,618.3MB / 623.6MB,8.192kB / 0B
2026-05-18 15:32:43,13,13.07,91.48MB,34068.5,0.27,628.9MB / 634.2MB,8.192kB / 0B
2026-05-18 15:32:55,13,13.11,90.99MB,34068.5,0.27,639.5MB / 644.9MB,8.192kB / 0B
2026-05-18 15:33:07,13,13.15,90.31MB,34068.5,0.27,650MB / 655.5MB,8.192kB / 0B
2026-05-18 15:33:19,13,13.19,91.8MB,34068.5,0.28,660.5MB / 666.1MB,8.192kB / 0B
2026-05-18 15:33:31,13,13.23,90.91MB,34068.5,0.27,670.9MB / 676.6MB,8.192kB / 0B
2026-05-18 15:33:43,14,13.27,91.07MB,34068.5,0.27,681.3MB / 687.1MB,8.192kB / 0B
2026-05-18 15:33:55,14,13.30,91.19MB,34068.5,0.27,691.7MB / 697.6MB,8.192kB / 0B
2026-05-18 15:34:07,14,13.34,91.67MB,34068.5,0.28,702.2MB / 708.2MB,8.192kB / 0B
2026-05-18 15:34:19,14,13.36,90.8MB,34068.5,0.27,712.7MB / 718.8MB,8.192kB / 0B
2026-05-18 15:34:31,14,13.39,90.98MB,34068.5,0.27,723.1MB / 729.3MB,8.192kB / 0B
2026-05-18 15:34:43,15,13.43,90.89MB,34068.5,0.27,733.6MB / 739.9MB,8.192kB / 0B
2026-05-18 15:34:55,15,13.46,91.28MB,34068.5,0.27,744.1MB / 750.5MB,8.192kB / 0B
2026-05-18 15:35:07,15,13.49,90.89MB,34068.5,0.27,754.6MB / 761MB,8.192kB / 0B
2026-05-18 15:35:19,15,13.52,91.06MB,34068.5,0.27,765.2MB / 771.7MB,8.192kB / 0B
2026-05-18 15:35:31,15,13.56,92.74MB,34068.5,0.28,775.6MB / 782.1MB,8.192kB / 0B
2026-05-18 15:35:43,16,13.60,92.35MB,34068.5,0.28,786.1MB / 792.8MB,8.192kB / 0B
2026-05-18 15:35:55,16,13.63,92.15MB,34068.5,0.28,796.6MB / 803.4MB,8.192kB / 0B
2026-05-18 15:36:07,16,13.66,90.98MB,34068.5,0.27,807MB / 813.9MB,8.192kB / 0B
2026-05-18 15:36:18,16,13.69,90.73MB,34068.5,0.27,817.4MB / 824.4MB,8.192kB / 0B
2026-05-18 15:36:31,16,13.71,91.61MB,34068.5,0.28,827.9MB / 835MB,8.192kB / 0B
2026-05-18 15:36:42,17,13.74,91.55MB,34068.5,0.28,838.4MB / 845.6MB,8.192kB / 0B
2026-05-18 15:36:54,17,13.77,91.31MB,34068.5,0.27,848.8MB / 856.1MB,8.192kB / 0B
2026-05-18 15:37:06,17,13.80,91.23MB,34068.5,0.27,859.3MB / 866.7MB,8.192kB / 0B
2026-05-18 15:37:18,17,13.81,91.93MB,34068.5,0.28,869.7MB / 877.2MB,8.192kB / 0B
2026-05-18 15:37:30,17,13.84,92.15MB,34068.5,0.28,880.3MB / 887.9MB,8.192kB / 0B
2026-05-18 15:37:42,18,13.86,91.86MB,34068.5,0.28,891MB / 898.6MB,8.192kB / 0B
2026-05-18 15:37:55,18,13.89,91.43MB,34068.5,0.27,901.5MB / 909.2MB,8.192kB / 0B
2026-05-18 15:38:06,18,13.92,91.44MB,34068.5,0.27,911.9MB / 919.7MB,8.192kB / 0B
2026-05-18 15:38:18,18,13.93,91.09MB,34068.5,0.27,922.5MB / 930.4MB,8.192kB / 0B
2026-05-18 15:38:30,18,13.96,92MB,34068.5,0.28,933MB / 941MB,8.192kB / 0B
2026-05-18 15:38:42,19,13.97,91.37MB,34068.5,0.27,943.5MB / 951.6MB,8.192kB / 0B
2026-05-18 15:38:54,19,14.00,91.89MB,34068.5,0.28,953.9MB / 962.1MB,8.192kB / 0B
2026-05-18 15:39:06,19,14.02,91.16MB,34068.5,0.27,964.3MB / 972.5MB,8.192kB / 0B
2026-05-18 15:39:18,19,14.03,91.82MB,34068.5,0.28,974.7MB / 983MB,8.192kB / 0B
2026-05-18 15:39:30,19,14.05,91.74MB,34068.5,0.28,985.1MB / 993.5MB,8.192kB / 0B
2026-05-18 15:39:42,20,14.07,91.38MB,34068.5,0.27,995.6MB / 1.004GB,8.192kB / 0B
2026-05-18 15:39:54,20,14.09,92.05MB,34068.5,0.28,1.006GB / 1.015GB,8.192kB / 0B
2026-05-18 15:40:06,20,14.12,91.47MB,34068.5,0.27,1.017GB / 1.025GB,8.192kB / 0B
2026-05-18 15:40:18,20,14.13,92.59MB,34068.5,0.28,1.027GB / 1.036GB,8.192kB / 0B
2026-05-18 15:40:30,20,14.15,91.67MB,34068.5,0.28,1.038GB / 1.047GB,8.192kB / 0B
2026-05-18 15:40:42,21,14.17,91.99MB,34068.5,0.28,1.048GB / 1.057GB,8.192kB / 0B
2026-05-18 15:40:54,21,14.18,92.02MB,34068.5,0.28,1.058GB / 1.068GB,8.192kB / 0B
2026-05-18 15:41:06,21,14.20,91.75MB,34068.5,0.28,1.069GB / 1.078GB,8.192kB / 0B
2026-05-18 15:41:18,21,14.22,92.45MB,34068.5,0.28,1.08GB / 1.089GB,8.192kB / 0B
2026-05-18 15:41:30,21,14.24,92.18MB,34068.5,0.28,1.09GB / 1.099GB,8.192kB / 0B
2026-05-18 15:41:42,22,14.26,91.87MB,34068.5,0.28,1.101GB / 1.11GB,8.192kB / 0B
2026-05-18 15:41:54,22,14.27,92.68MB,34068.5,0.28,1.111GB / 1.121GB,8.192kB / 0B
2026-05-18 15:42:06,22,14.29,92.85MB,34068.5,0.28,1.122GB / 1.131GB,8.192kB / 0B
2026-05-18 15:42:18,22,14.31,91.69MB,34068.5,0.28,1.132GB / 1.142GB,8.192kB / 0B
2026-05-18 15:42:30,22,14.33,92.78MB,34068.5,0.28,1.143GB / 1.152GB,8.192kB / 0B
2026-05-18 15:42:42,23,14.34,92.3MB,34068.5,0.28,1.153GB / 1.163GB,8.192kB / 0B
2026-05-18 15:42:54,23,14.36,92.02MB,34068.5,0.28,1.163GB / 1.173GB,8.192kB / 0B
