timestamp,elapsed_min,gc_collected_gen0,gc_collected_gen1,gc_collected_gen2,gc_uncollectable_gen0,gc_uncollectable_gen1,gc_uncollectable_gen2,gc_collections_gen0,gc_collections_gen1,gc_collections_gen2,process_rss_bytes,process_vm_bytes,process_cpu_seconds,open_fds,ccx_received,ccx_failures_ocp,ccx_processed_ocp,ccx_published_ocp,broker_instances,broker_exceptions,broker_tracebacks
2026-05-18 15:19:42,0,1469.0,924.0,89.0,0.0,0.0,0.0,242.0,22.0,1.0,8.9821184e+07,8.65292288e+08,0.92,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-18 15:19:54,0,1469.0,924.0,89.0,0.0,0.0,0.0,242.0,22.0,1.0,8.9952256e+07,8.65292288e+08,0.94,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-18 15:20:06,0,1469.0,924.0,89.0,0.0,0.0,0.0,242.0,22.0,1.0,8.9952256e+07,8.65292288e+08,0.96,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-18 15:20:18,0,1469.0,924.0,89.0,0.0,0.0,0.0,242.0,22.0,1.0,8.9952256e+07,8.65292288e+08,0.97,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-18 15:20:30,0,1469.0,924.0,89.0,0.0,0.0,0.0,242.0,22.0,1.0,8.9952256e+07,8.65292288e+08,0.98,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-18 15:20:42,1,1469.0,924.0,89.0,0.0,0.0,0.0,242.0,22.0,1.0,8.9952256e+07,8.65292288e+08,0.99,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-18 15:20:54,1,3607.0,924.0,141.0,0.0,0.0,0.0,248.0,22.0,2.0,9.0681344e+07,8.66340864e+08,1.79,21.0,73.0,0.0,73.0,73.0,2.0,0.0,0.0
2026-05-18 15:21:06,1,6369.0,1519.0,141.0,0.0,0.0,0.0,253.0,23.0,2.0,9.0681344e+07,8.66340864e+08,2.93,21.0,171.0,0.0,171.0,171.0,2.0,0.0,0.0
2026-05-18 15:21:18,1,9939.0,1519.0,141.0,0.0,0.0,0.0,259.0,23.0,2.0,9.0812416e+07,8.66340864e+08,4.0,21.0,271.0,0.0,271.0,271.0,2.0,0.0,0.0
2026-05-18 15:21:30,1,12914.0,2114.0,141.0,0.0,0.0,0.0,264.0,24.0,2.0,9.0812416e+07,8.66340864e+08,4.9799999999999995,23.0,371.0,0.0,370.0,370.0,2.0,0.0,0.0
2026-05-18 15:21:42,2,16484.0,2114.0,141.0,0.0,0.0,0.0,270.0,24.0,2.0,9.0812416e+07,8.66340864e+08,6.05,21.0,468.0,0.0,468.0,468.0,2.0,0.0,0.0
2026-05-18 15:21:54,2,19669.0,2114.0,141.0,0.0,0.0,0.0,275.0,24.0,2.0,9.0812416e+07,8.66340864e+08,7.13,21.0,566.0,0.0,566.0,566.0,2.0,0.0,0.0
2026-05-18 15:22:06,2,22329.0,2779.0,141.0,0.0,0.0,0.0,279.0,25.0,2.0,9.0812416e+07,8.66340864e+08,8.21,21.0,665.0,0.0,665.0,665.0,2.0,0.0,0.0
2026-05-18 15:22:18,2,26179.0,2779.0,141.0,0.0,0.0,0.0,285.0,25.0,2.0,9.0812416e+07,8.66340864e+08,9.27,21.0,764.0,0.0,764.0,764.0,2.0,0.0,0.0
2026-05-18 15:22:30,2,28839.0,3444.0,141.0,0.0,0.0,0.0,289.0,26.0,2.0,9.0812416e+07,8.66340864e+08,10.33,21.0,863.0,0.0,863.0,863.0,2.0,0.0,0.0
2026-05-18 15:22:42,3,32164.0,3444.0,141.0,0.0,0.0,0.0,294.0,26.0,2.0,9.0812416e+07,8.66340864e+08,11.4,21.0,961.0,0.0,961.0,961.0,2.0,0.0,0.0
2026-05-18 15:22:54,3,34824.0,4109.0,141.0,0.0,0.0,0.0,298.0,27.0,2.0,9.0812416e+07,8.66340864e+08,12.469999999999999,21.0,1062.0,0.0,1062.0,1062.0,2.0,0.0,0.0
2026-05-18 15:23:06,3,38744.0,4109.0,141.0,0.0,0.0,0.0,304.0,27.0,2.0,9.0943488e+07,8.66340864e+08,13.57,21.0,1163.0,0.0,1163.0,1163.0,2.0,0.0,0.0
2026-05-18 15:23:18,3,41404.0,4774.0,141.0,0.0,0.0,0.0,308.0,28.0,2.0,9.0943488e+07,8.66340864e+08,14.64,21.0,1260.0,0.0,1260.0,1260.0,2.0,0.0,0.0
2026-05-18 15:23:30,3,44729.0,4774.0,141.0,0.0,0.0,0.0,313.0,28.0,2.0,9.0943488e+07,8.66340864e+08,15.72,21.0,1358.0,0.0,1358.0,1358.0,2.0,0.0,0.0
2026-05-18 15:23:42,4,48054.0,4774.0,141.0,0.0,0.0,0.0,318.0,28.0,2.0,9.0943488e+07,8.66340864e+08,16.8,21.0,1459.0,0.0,1459.0,1459.0,2.0,0.0,0.0
2026-05-18 15:23:54,4,51312.0,5436.0,141.0,0.0,0.0,0.0,323.0,29.0,2.0,9.0943488e+07,8.66340864e+08,17.880000000000003,23.0,1557.0,0.0,1556.0,1556.0,2.0,0.0,0.0
2026-05-18 15:24:06,4,54637.0,5436.0,141.0,0.0,0.0,0.0,328.0,29.0,2.0,9.0943488e+07,8.66340864e+08,18.96,23.0,1657.0,0.0,1656.0,1656.0,2.0,0.0,0.0
2026-05-18 15:24:18,4,57297.0,6101.0,141.0,0.0,0.0,0.0,332.0,30.0,2.0,9.0943488e+07,8.66340864e+08,20.05,21.0,1757.0,0.0,1757.0,1757.0,2.0,0.0,0.0
2026-05-18 15:24:30,4,60622.0,6101.0,141.0,0.0,0.0,0.0,337.0,30.0,2.0,9.0943488e+07,8.66340864e+08,21.14,21.0,1856.0,0.0,1856.0,1856.0,2.0,0.0,0.0
2026-05-18 15:24:42,5,63877.0,6766.0,141.0,0.0,0.0,0.0,342.0,31.0,2.0,9.0943488e+07,8.66340864e+08,22.22,21.0,1955.0,0.0,1955.0,1955.0,2.0,0.0,0.0
2026-05-18 15:24:54,5,67240.0,6766.0,141.0,0.0,0.0,0.0,347.0,31.0,2.0,9.0943488e+07,8.66340864e+08,23.28,23.0,2054.0,0.0,2053.0,2053.0,2.0,0.0,0.0
2026-05-18 15:25:06,5,70667.0,6766.0,141.0,0.0,0.0,0.0,352.0,31.0,2.0,9.0943488e+07,8.66340864e+08,24.35,23.0,2153.0,0.0,2152.0,2152.0,2.0,0.0,0.0
2026-05-18 15:25:18,5,73397.0,7434.0,141.0,0.0,0.0,0.0,356.0,32.0,2.0,9.0943488e+07,8.66340864e+08,25.369999999999997,21.0,2252.0,0.0,2252.0,2252.0,2.0,0.0,0.0
2026-05-18 15:25:30,5,76824.0,7434.0,141.0,0.0,0.0,0.0,361.0,32.0,2.0,9.0943488e+07,8.66340864e+08,26.46,21.0,2349.0,0.0,2349.0,2349.0,2.0,0.0,0.0
2026-05-18 15:25:42,6,79554.0,8102.0,141.0,0.0,0.0,0.0,365.0,33.0,2.0,9.0943488e+07,8.66340864e+08,27.59,21.0,2448.0,0.0,2448.0,2448.0,2.0,0.0,0.0
2026-05-18 15:25:54,6,82981.0,8102.0,141.0,0.0,0.0,0.0,370.0,33.0,2.0,9.0943488e+07,8.66340864e+08,28.63,21.0,2547.0,0.0,2547.0,2547.0,2.0,0.0,0.0
2026-05-18 15:26:06,6,85711.0,8770.0,141.0,0.0,0.0,0.0,374.0,34.0,2.0,9.0943488e+07,8.66340864e+08,29.7,21.0,2646.0,0.0,2646.0,2646.0,2.0,0.0,0.0
2026-05-18 15:26:18,6,89138.0,8770.0,141.0,0.0,0.0,0.0,379.0,34.0,2.0,9.0943488e+07,8.66340864e+08,30.75,21.0,2745.0,0.0,2745.0,2745.0,2.0,0.0,0.0
2026-05-18 15:26:30,6,92536.0,8770.0,141.0,0.0,0.0,0.0,384.0,34.0,2.0,9.0943488e+07,8.66340864e+08,31.82,21.0,2844.0,0.0,2844.0,2844.0,2.0,0.0,0.0
2026-05-18 15:26:42,7,95861.0,9435.0,141.0,0.0,0.0,0.0,389.0,35.0,2.0,9.0943488e+07,8.66340864e+08,32.86,21.0,2943.0,0.0,2943.0,2943.0,2.0,0.0,0.0
2026-05-18 15:26:54,7,99288.0,9435.0,141.0,0.0,0.0,0.0,394.0,35.0,2.0,9.0943488e+07,8.66340864e+08,33.91,21.0,3042.0,0.0,3042.0,3042.0,2.0,0.0,0.0
2026-05-18 15:27:06,7,102018.0,10103.0,141.0,0.0,0.0,0.0,398.0,36.0,2.0,9.0943488e+07,8.66340864e+08,34.94,21.0,3141.0,0.0,3141.0,3141.0,2.0,0.0,0.0
2026-05-18 15:27:18,7,105445.0,10103.0,141.0,0.0,0.0,0.0,403.0,36.0,2.0,9.0943488e+07,8.66340864e+08,35.940000000000005,21.0,3240.0,0.0,3240.0,3240.0,2.0,0.0,0.0
2026-05-18 15:27:30,7,108175.0,10771.0,141.0,0.0,0.0,0.0,407.0,37.0,2.0,9.0943488e+07,8.66340864e+08,37.07,21.0,3340.0,0.0,3340.0,3340.0,2.0,0.0,0.0
2026-05-18 15:27:42,8,111602.0,10771.0,141.0,0.0,0.0,0.0,412.0,37.0,2.0,9.0943488e+07,8.66340864e+08,38.15,21.0,3440.0,0.0,3440.0,3440.0,2.0,0.0,0.0
2026-05-18 15:27:54,8,115000.0,10771.0,141.0,0.0,0.0,0.0,417.0,37.0,2.0,9.0943488e+07,8.66340864e+08,39.2,21.0,3540.0,0.0,3540.0,3540.0,2.0,0.0,0.0
2026-05-18 15:28:07,8,117759.0,11439.0,141.0,0.0,0.0,0.0,421.0,38.0,2.0,9.0943488e+07,8.66340864e+08,40.269999999999996,21.0,3640.0,0.0,3640.0,3640.0,2.0,0.0,0.0
2026-05-18 15:28:19,8,121717.0,11439.0,141.0,0.0,0.0,0.0,427.0,38.0,2.0,9.0943488e+07,8.66340864e+08,41.3,21.0,3738.0,0.0,3738.0,3738.0,2.0,0.0,0.0
2026-05-18 15:28:31,8,124447.0,12136.0,141.0,0.0,0.0,0.0,431.0,39.0,2.0,9.0943488e+07,8.66340864e+08,42.43,21.0,3837.0,0.0,3837.0,3837.0,2.0,0.0,0.0
2026-05-18 15:28:43,9,127845.0,12136.0,141.0,0.0,0.0,0.0,436.0,39.0,2.0,9.0943488e+07,8.66340864e+08,43.449999999999996,21.0,3936.0,0.0,3936.0,3936.0,2.0,0.0,0.0
2026-05-18 15:28:55,9,130575.0,12833.0,141.0,0.0,0.0,0.0,440.0,40.0,2.0,9.0943488e+07,8.66340864e+08,44.53,23.0,4035.0,0.0,4034.0,4034.0,2.0,0.0,0.0
2026-05-18 15:29:07,9,133973.0,12833.0,141.0,0.0,0.0,0.0,445.0,40.0,2.0,9.0943488e+07,8.66340864e+08,45.589999999999996,23.0,4134.0,0.0,4133.0,4133.0,2.0,0.0,0.0
2026-05-18 15:29:19,9,137400.0,12833.0,141.0,0.0,0.0,0.0,450.0,40.0,2.0,9.0943488e+07,8.66340864e+08,46.65,21.0,4232.0,0.0,4232.0,4232.0,2.0,0.0,0.0
2026-05-18 15:29:31,9,140101.0,13530.0,141.0,0.0,0.0,0.0,454.0,41.0,2.0,9.0943488e+07,8.66340864e+08,47.68,21.0,4331.0,0.0,4331.0,4331.0,2.0,0.0,0.0
2026-05-18 15:29:43,10,143528.0,13530.0,141.0,0.0,0.0,0.0,459.0,41.0,2.0,9.0943488e+07,8.66340864e+08,48.69,23.0,4430.0,0.0,4429.0,4429.0,2.0,0.0,0.0
2026-05-18 15:29:56,10,146229.0,14227.0,141.0,0.0,0.0,0.0,463.0,42.0,2.0,9.0943488e+07,8.66340864e+08,49.86,21.0,4535.0,0.0,4535.0,4535.0,2.0,0.0,0.0
2026-05-18 15:30:08,10,150254.0,14227.0,141.0,0.0,0.0,0.0,469.0,42.0,2.0,9.0943488e+07,8.66340864e+08,50.9,21.0,4635.0,0.0,4635.0,4635.0,2.0,0.0,0.0
2026-05-18 15:30:20,10,152984.0,14924.0,141.0,0.0,0.0,0.0,473.0,43.0,2.0,9.0943488e+07,8.66340864e+08,51.92,21.0,4733.0,0.0,4733.0,4733.0,2.0,0.0,0.0
2026-05-18 15:30:31,10,156382.0,14924.0,141.0,0.0,0.0,0.0,478.0,43.0,2.0,9.0943488e+07,8.66340864e+08,52.96,21.0,4831.0,0.0,4831.0,4831.0,2.0,0.0,0.0
2026-05-18 15:30:43,11,159809.0,14924.0,141.0,0.0,0.0,0.0,483.0,43.0,2.0,9.0943488e+07,8.66340864e+08,53.989999999999995,21.0,4929.0,0.0,4929.0,4929.0,2.0,0.0,0.0
2026-05-18 15:30:55,11,162510.0,15621.0,141.0,0.0,0.0,0.0,487.0,44.0,2.0,9.0943488e+07,8.66340864e+08,55.09,23.0,5029.0,0.0,5028.0,5028.0,2.0,0.0,0.0
2026-05-18 15:31:07,11,165937.0,15621.0,141.0,0.0,0.0,0.0,492.0,44.0,2.0,9.0943488e+07,8.66340864e+08,56.11,21.0,5129.0,0.0,5129.0,5129.0,2.0,0.0,0.0
2026-05-18 15:31:19,11,168638.0,16318.0,141.0,0.0,0.0,0.0,496.0,45.0,2.0,9.0943488e+07,8.66340864e+08,57.16,21.0,5227.0,0.0,5227.0,5227.0,2.0,0.0,0.0
2026-05-18 15:31:31,11,172065.0,16318.0,141.0,0.0,0.0,0.0,501.0,45.0,2.0,9.0943488e+07,8.66340864e+08,58.230000000000004,21.0,5326.0,0.0,5326.0,5326.0,2.0,0.0,0.0
2026-05-18 15:31:43,12,175463.0,16318.0,141.0,0.0,0.0,0.0,506.0,45.0,2.0,9.0943488e+07,8.66340864e+08,59.29,21.0,5424.0,0.0,5424.0,5424.0,2.0,0.0,0.0
2026-05-18 15:31:55,12,178193.0,17015.0,141.0,0.0,0.0,0.0,510.0,46.0,2.0,9.0943488e+07,8.66340864e+08,60.3,21.0,5525.0,0.0,5525.0,5525.0,2.0,0.0,0.0
2026-05-18 15:32:07,12,181591.0,17015.0,141.0,0.0,0.0,0.0,515.0,46.0,2.0,9.0943488e+07,8.66340864e+08,61.33,21.0,5624.0,0.0,5624.0,5624.0,2.0,0.0,0.0
2026-05-18 15:32:19,12,184216.0,17712.0,141.0,0.0,0.0,0.0,519.0,47.0,2.0,9.0943488e+07,8.66340864e+08,62.39,21.0,5721.0,0.0,5721.0,5721.0,2.0,0.0,0.0
2026-05-18 15:32:31,12,188279.0,17712.0,141.0,0.0,0.0,0.0,525.0,47.0,2.0,9.0943488e+07,8.66340864e+08,63.5,23.0,5821.0,0.0,5820.0,5820.0,2.0,0.0,0.0
2026-05-18 15:32:43,13,191038.0,18380.0,141.0,0.0,0.0,0.0,529.0,48.0,2.0,9.0943488e+07,8.66340864e+08,64.57,23.0,5921.0,0.0,5920.0,5920.0,2.0,0.0,0.0
2026-05-18 15:32:55,13,194436.0,18380.0,141.0,0.0,0.0,0.0,534.0,48.0,2.0,9.0943488e+07,8.66340864e+08,65.66,21.0,6020.0,0.0,6020.0,6020.0,2.0,0.0,0.0
